lon,lat,I,cell,fraction,area,area2
119.75,53.25,195,195,0.0131654953584075,7428.26411746191,97.7967767594698
120.75,53.25,196,196,0.404426664113998,7428.26411746191,3004.18807718284
121.75,53.25,197,197,0.635126113891602,7428.26411746191,4717.88452188401
122.75,53.25,198,198,0.726317346096039,7428.26411746191,5395.27707989537
123.75,53.25,199,199,0.724707424640656,7428.26411746191,5383.31815811642
124.75,53.25,200,200,0.453204274177551,7428.26411746191,3366.52104775348
125.75,53.25,201,201,0.183051854372025,7428.26411746191,1359.75752146657
119.75,52.25,267,267,0.0339797735214233,7599.03460848865,258.213474977902
120.75,52.25,268,268,0.65979140996933,7599.03460848865,5013.77775874046
121.75,52.25,269,269,1,7599.03460848865,7599.03460848865
122.75,52.25,270,270,1,7599.03460848865,7599.03460848865
123.75,52.25,271,271,1,7599.03460848865,7599.03460848865
124.75,52.25,272,272,1,7599.03460848865,7599.03460848865
